STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,GEOID,STATECODE,STATENAME,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
01,,,00001,0100001,AL,Alabama,Fort Rucker School District,00,KG,12,G5420,B,E,232947983.00000000000,2801707.00000000000,+31.4097368,-085.7458071
01,,,00003,0100003,AL,Alabama,Maxwell AFB School District,00,KG,12,G5420,B,E,8706774.00000000000,372428.00000000000,+32.3809438,-086.3637490
01,,,00005,0100005,AL,Alabama,Albertville City School District,00,KG,12,G5420,,E,69358643.00000000000,258708.00000000000,+34.2631303,-086.2106600
01,,,00006,0100006,AL,Alabama,Marshall County School District,00,PK,12,G5420,,E,1265713429.00000000000,103560014.00000000000,+34.3821918,-086.3050590
01,,,00007,0100007,AL,Alabama,Hoover City School District,00,KG,12,G5420,,E,122598313.00000000000,2507085.00000000000,+33.3769487,-086.8055789
01,,,00008,0100008,AL,Alabama,Madison City School District,00,PK,12,G5420,,E,78523947.00000000000,351493.00000000000,+34.7105329,-086.7622802
01,,,00011,0100011,AL,Alabama,Leeds City School District,00,KG,12,G5420,,E,58231597.00000000000,566101.00000000000,+33.5468470,-086.5714476
01,,,00012,0100012,AL,Alabama,Boaz City School District,00,PK,12,G5420,,E,37683448.00000000000,161880.00000000000,+34.1990204,-086.1551515
01,,,00013,0100013,AL,Alabama,Trussville City School District,00,KG,12,G5420,,E,87589867.00000000000,1321712.00000000000,+33.6552331,-086.5632401
01,,,00030,0100030,AL,Alabama,Alexander City City School District,00,KG,12,G5420,,E,246666759.00000000000,43846408.00000000000,+32.8690219,-085.9510825
01,,,00060,0100060,AL,Alabama,Andalusia City School District,00,KG,12,G5420,,E,50911854.00000000000,405912.00000000000,+31.3094363,-086.4780311
01,,,00090,0100090,AL,Alabama,Anniston City School District,00,PK,12,G5420,,E,118514789.00000000000,180468.00000000000,+33.6734345,-085.8109372
01,,,00100,0100100,AL,Alabama,Arab City School District,00,PK,12,G5420,,E,34511834.00000000000,343242.00000000000,+34.3323868,-086.5011665
01,,,00120,0100120,AL,Alabama,Athens City School District,00,KG,12,G5420,,E,103236667.00000000000,665558.00000000000,+34.7790209,-086.9507986
01,,,00180,0100180,AL,Alabama,Attalla City School District,00,PK,12,G5420,,E,18079010.00000000000,0.00000000000,+33.9861893,-086.1210365
01,,,00185,0100185,AL,Alabama,Saraland City School District,00,KG,12,G5420,,E,83030309.00000000000,573130.00000000000,+30.8540100,-088.0972017
01,,,00188,0100188,AL,Alabama,Chickasaw City School District,00,PK,12,G5420,,E,10894951.00000000000,908483.00000000000,+30.7714495,-088.0796971
01,,,00189,0100189,AL,Alabama,Satsuma City School District,00,PK,12,G5420,,E,18995523.00000000000,122490.00000000000,+30.8578741,-088.0633829
01,,,00190,0100190,AL,Alabama,Alabaster City School District,00,KG,12,G5420,,E,65387303.00000000000,806152.00000000000,+33.2269355,-086.7610146
01,,,00194,0100194,AL,Alabama,Pelham City School District,00,KG,12,G5420,,E,100552567.00000000000,1311246.00000000000,+33.3218302,-086.7421974
01,00195,,,0100195,AL,Alabama,Pike Road City School District,00,KG,12,G5400,,E,85146878.00000000000,778561.00000000000,+32.2831878,-085.9656803
01,,,00210,0100210,AL,Alabama,Auburn City School District,00,PK,12,G5420,,E,155607196.00000000000,2672443.00000000000,+32.6077220,-085.4895446
